
DATE,CITY,Around Town,Art,Eating & Drinking,Film,Music,Nightlife,Stage,PROVIDED,NEW,EXISTING
2010-07-11,Singapore,0,0,0,0,0,0,0,24,0,69
2010-07-11,Sydney,0,0,0,0,0,0,0,5,0,10
2010-07-12,Almaty,0,0,0,0,0,0,0,6,0,42
2010-07-12,Barcelona,0,0,0,0,0,0,0,391,0,963
2010-07-12,Chicago,0,0,0,3,0,1,1,610,5,1126
2010-07-12,Kuala_lumpur,0,0,0,0,0,0,0,5,0,19
2010-07-12,Lisbon,0,0,0,0,0,0,0,20,0,70
2010-07-12,London,162,27,0,0,222,49,85,1788,545,2226
2010-07-12,Moscow,0,0,0,0,0,0,0,979,0,2783
2010-07-12,Ny,0,0,0,0,0,0,0,473,0,525
2010-07-12,Saint_petersburg,17,9,0,0,41,24,51,599,142,1307
2010-07-12,Singapore,0,0,0,0,0,0,0,24,0,69
2010-07-12,Sydney,0,0,0,0,0,0,0,5,0,10
2010-07-13,Almaty,0,0,0,0,0,0,0,6,0,42
2010-07-13,Barcelona,10,0,0,0,1,1,0,394,12,963
2010-07-13,Chicago,5,0,0,0,9,6,5,635,25,1131
2010-07-13,Kuala_lumpur,0,0,0,0,0,0,0,5,0,19
2010-07-13,Lisbon,0,0,0,0,0,0,0,19,0,70
2010-07-13,London,0,0,0,0,0,0,0,1760,0,2771
2010-07-13,Moscow,2,1,0,0,21,10,2,1006,36,2783
2010-07-13,Ny,0,0,0,0,0,0,0,472,0,525
2010-07-13,Saint_petersburg,0,0,0,1,16,21,22,644,60,1449
2010-07-13,Singapore,0,0,0,0,0,0,0,24,0,69
2010-07-13,Sydney,0,0,0,0,0,0,0,5,0,10
2010-07-14,Almaty,0,0,0,0,0,0,0,6,0,42
2010-07-14,Barcelona,28,0,0,0,0,8,0,418,36,975
2010-07-14,Chicago,0,0,0,0,0,0,0,627,0,1156
2010-07-14,Kuala_lumpur,0,0,0,0,0,0,0,5,0,19
2010-07-14,Lisbon,2,0,0,0,0,0,1,22,3,70
2010-07-14,London,5,0,0,0,1,4,5,1726,15,2771
2010-07-14,Moscow,2,1,0,0,64,11,68,1158,146,2819
2010-07-14,Ny,0,0,0,0,0,0,0,472,0,525
2010-07-14,Saint_petersburg,0,1,0,0,1,2,1,634,5,1509
2010-07-14,Singapore,0,1,0,0,0,0,0,23,1,69
2010-07-14,Sydney,0,0,0,0,0,0,0,5,0,10
2010-07-15,Almaty,0,0,0,0,0,0,0,6,0,42
2010-07-15,Barcelona,11,4,0,0,9,41,0,464,65,1011
