
DATE,CITY,Around Town,Art,Eating & Drinking,Film,Music,Nightlife,Stage,PROVIDED,NEW,EXISTING
2010-07-10,Barcelona,0,0,0,0,0,0,0,179,0,179
2010-07-10,Chicago,0,0,0,0,0,0,0,308,0,308
2010-07-10,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-07-10,Lisbon,0,0,0,0,0,0,0,61,0,61
2010-07-10,London,0,0,0,4,0,0,0,841,4,837
2010-07-10,Moscow,0,0,0,0,0,0,0,601,0,610
2010-07-10,Ny,0,0,0,0,0,0,0,374,0,374
2010-07-10,Saint_petersburg,0,0,0,0,0,0,0,443,0,439
2010-07-10,Singapore,0,0,0,1,0,0,0,82,1,81
2010-07-10,Sydney,0,0,0,1,0,0,0,181,1,180
2010-07-11,Almaty,0,0,0,0,0,0,0,133,0,132
2010-07-11,Barcelona,0,0,0,0,0,0,0,179,0,179
2010-07-11,Chicago,0,0,0,1,0,0,0,309,1,308
2010-07-11,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-07-11,Lisbon,0,0,0,0,0,0,0,61,0,61
2010-07-11,London,0,0,0,0,0,0,0,841,0,841
2010-07-11,Moscow,0,0,0,0,0,0,0,601,0,610
2010-07-11,Ny,0,0,0,0,0,0,0,374,0,374
2010-07-11,Saint_petersburg,0,0,0,0,0,0,0,443,0,439
2010-07-11,Singapore,0,0,0,0,0,0,0,82,0,82
2010-07-11,Sydney,0,0,0,0,0,0,0,181,0,181
2010-07-12,Almaty,0,0,0,0,0,0,0,133,0,132
2010-07-12,Barcelona,0,0,0,0,0,0,0,179,0,179
2010-07-12,Chicago,0,0,0,3,0,0,0,312,3,309
2010-07-12,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-07-12,Lisbon,0,0,0,0,0,0,0,61,0,61
2010-07-12,London,0,0,0,0,0,0,0,841,0,841
2010-07-12,Moscow,0,0,0,0,0,0,0,601,0,610
2010-07-12,Ny,0,0,0,0,0,0,0,374,0,374
2010-07-12,Saint_petersburg,0,0,0,0,0,0,0,443,0,439
2010-07-12,Singapore,0,0,0,0,0,0,0,82,0,82
2010-07-12,Sydney,0,0,0,0,0,0,0,181,0,181
2010-07-13,Almaty,0,0,0,0,0,0,0,133,0,132
2010-07-13,Barcelona,0,0,0,3,0,0,0,182,3,179
2010-07-13,Chicago,0,0,0,0,0,0,0,312,0,312
2010-07-13,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-07-13,Lisbon,0,0,0,0,0,0,0,61,0,61
2010-07-13,London,0,0,0,0,0,0,0,841,0,841
2010-07-13,Moscow,0,0,0,0,0,0,0,601,0,610
2010-07-13,Ny,0,0,0,0,0,0,0,374,0,374
2010-07-13,Saint_petersburg,0,0,0,0,0,0,0,443,0,439
2010-07-13,Singapore,0,0,0,0,0,0,0,82,0,82
2010-07-13,Sydney,0,0,0,0,0,0,0,181,0,181
2010-07-14,Almaty,0,0,0,0,0,0,0,133,0,132
2010-07-14,Barcelona,0,0,0,0,0,0,0,182,0,182
2010-07-14,Chicago,0,0,0,0,0,0,0,312,0,312
2010-07-14,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-07-14,Lisbon,0,0,0,1,0,0,0,62,1,61
2010-07-14,London,0,0,0,7,0,0,0,848,7,841
2010-07-14,Moscow,0,0,0,0,0,0,0,601,0,610
2010-07-14,Ny,0,0,0,2,0,0,0,376,2,374
2010-07-14,Saint_petersburg,0,0,0,0,0,0,0,443,0,439
2010-07-14,Singapore,0,0,0,1,0,0,0,83,1,82
2010-07-14,Sydney,0,0,0,0,0,0,0,181,0,181
2010-07-15,Almaty,0,0,0,0,0,0,0,133,0,132
2010-07-15,Barcelona,0,0,0,2,0,0,0,184,2,182
2010-07-15,Chicago,0,0,0,5,0,0,0,317,5,312
2010-07-15,Kuala_lumpur,0,0,0,1,0,0,0,4,1,3
2010-07-15,Lisbon,0,0,0,0,0,0,0,62,0,62
2010-07-15,London,0,0,0,5,0,0,0,853,5,848
2010-07-15,Moscow,0,0,0,0,0,0,0,601,0,610
2010-07-15,Ny,0,0,0,14,0,0,0,390,14,376
2010-07-15,Saint_petersburg,0,0,0,0,0,0,0,443,0,439
2010-07-15,Singapore,0,0,0,0,0,0,0,83,0,83
2010-07-15,Sydney,0,0,0,4,0,0,0,185,4,181
2010-07-16,Almaty,0,0,0,9,0,0,0,145,9,132
2010-07-16,Barcelona,0,0,0,0,0,0,0,184,0,184
2010-07-16,Chicago,0,0,0,0,0,0,0,317,0,317
2010-07-16,Kuala_lumpur,0,0,0,0,0,0,0,4,0,4
2010-07-16,Lisbon,0,0,0,0,0,0,0,62,0,62
2010-07-16,London,0,0,0,5,0,0,0,858,5,853
2010-07-16,Moscow,0,0,0,6,0,0,0,598,6,610
2010-07-16,Ny,0,0,0,3,0,0,0,393,3,390
2010-07-16,Saint_petersburg,0,0,0,5,0,0,0,454,5,439
2010-07-16,Singapore,0,0,0,0,0,0,0,83,0,83
2010-07-16,Sydney,0,0,0,0,0,0,0,185,0,185
